Date,Close,Volume,Open,High,Low
7/6/2026,312.66,53589980,307.36,314.20,307.00
7/2/2026,308.63,75400630,294.12,309.42,293.68
7/1/2026,294.38,50164230,293.44,296.59,289.20
6/30/2026,289.36,65100160,281.17,289.94,280.70
6/29/2026,281.74,66427000,286.73,288.37,279.85
6/26/2026,283.78,261775500,275.00,285.95,274.21
6/25/2026,275.15,107253700,287.40,288.80,273.75
6/24/2026,293.08,53081860,295.36,299.70,292.94
6/23/2026,294.30,52010930,297.54,301.64,294.18
6/22/2026,297.01,44879910,297.31,302.42,296.76
6/18/2026,298.01,85962200,298.11,300.57,295.62
6/17/2026,295.95,42745060,300.85,302.07,294.36
6/16/2026,299.24,39874400,295.25,300.48,293.97
6/15/2026,296.42,45732570,294.12,297.78,291.70
6/12/2026,291.13,38784790,296.03,297.14,289.62
6/11/2026,295.63,42572500,293.72,297.00,289.59
6/10/2026,291.58,52793270,290.74,294.75,287.38
6/9/2026,290.55,70108850,300.28,300.75,287.78
6/8/2026,301.54,77949080,308.74,317.40,301.17
6/5/2026,307.34,65310500,312.86,315.17,307.15
6/4/2026,311.23,44869130,313.23,313.54,309.65
6/3/2026,310.26,50836710,314.18,316.94,308.85
6/2/2026,315.20,44534720,307.46,315.45,306.69
6/1/2026,306.31,48849930,309.63,310.94,305.02
5/29/2026,312.06,70026750,311.78,315.00,309.53
5/28/2026,312.51,48220390,310.68,312.80,309.57
5/27/2026,310.85,50430920,308.33,313.26,308.30
5/26/2026,308.33,48000490,309.56,311.82,307.67
5/22/2026,308.82,43670220,306.12,311.40,305.84
5/21/2026,304.99,42965130,301.06,305.54,300.40
5/20/2026,302.25,38229840,298.18,302.80,298.08
5/19/2026,298.97,42243560,296.97,300.51,296.35
5/18/2026,297.84,34482960,300.24,300.66,294.91
5/15/2026,300.23,54862840,297.90,303.20,296.52
5/14/2026,298.21,35324920,299.82,300.45,295.38
5/13/2026,298.87,52684260,293.50,300.92,293.50
5/12/2026,294.80,45748130,292.56,295.27,292.56
5/11/2026,292.68,42247290,291.98,293.88,290.23
5/8/2026,293.32,52692760,290.01,294.76,290.00
5/7/2026,287.44,45224300,289.27,292.13,285.78
5/6/2026,287.51,58336070,281.92,288.03,281.07
5/5/2026,284.18,49311710,276.93,284.57,276.50
5/4/2026,276.83,46668400,279.66,280.63,274.86
5/1/2026,280.14,79915440,278.86,287.22,278.37
4/30/2026,271.35,91848230,270.50,276.00,268.14
4/29/2026,270.17,30047870,267.55,271.04,267.04
4/28/2026,270.71,40018940,272.34,273.23,268.66
4/27/2026,267.61,41466760,266.09,268.36,265.07
4/24/2026,271.06,38157110,272.76,273.06,269.65
4/23/2026,273.43,33399640,275.05,275.77,271.65
4/22/2026,273.17,43249200,267.82,273.74,266.87
4/21/2026,266.17,50209760,271.50,272.80,265.40
4/20/2026,273.05,36590170,270.33,274.28,270.29
4/17/2026,270.23,61436230,266.96,272.30,266.72
4/16/2026,263.40,43323110,266.80,267.16,261.27
4/15/2026,266.43,49913510,258.16,266.56,257.81
4/14/2026,258.83,48370710,259.25,261.93,257.19
4/13/2026,259.20,36234700,259.73,260.18,256.66
4/10/2026,260.48,31291470,259.98,262.19,259.02
4/9/2026,260.49,28121570,259.00,261.12,256.07
4/8/2026,258.90,41032770,258.45,259.75,256.53
4/7/2026,253.50,62148010,256.16,256.20,245.70
4/6/2026,258.86,29329910,256.51,262.16,256.46
4/2/2026,255.92,31289370,254.20,256.13,250.65
4/1/2026,255.63,40059430,254.08,256.18,253.33
3/31/2026,253.79,49598090,247.91,255.48,247.10
3/30/2026,246.63,39446210,250.07,250.87,245.51
3/27/2026,248.80,47900000,253.90,255.49,248.07
3/26/2026,252.89,41796650,252.12,257.00,250.77
3/25/2026,252.62,28476670,254.10,255.00,251.60
3/24/2026,251.64,45152290,250.35,254.83,249.55
3/23/2026,251.49,40546110,253.97,254.60,250.28
3/20/2026,247.99,88331080,247.98,249.20,246.00
3/19/2026,248.96,34864080,249.40,251.83,247.30
3/18/2026,249.94,35757870,252.63,254.94,249.00
3/17/2026,254.23,32361610,252.96,255.13,252.18
3/16/2026,252.82,32074210,252.11,253.89,249.88
3/13/2026,250.12,36929990,255.48,256.33,249.52
3/12/2026,255.76,40794020,258.66,258.95,254.18
3/11/2026,260.81,26218930,261.09,262.13,259.55
3/10/2026,260.83,30590770,257.65,262.48,256.95
3/9/2026,259.88,38218530,255.69,261.15,253.68
3/6/2026,257.46,41120040,258.63,258.77,254.37
3/5/2026,260.29,49658630,260.79,261.56,257.25
3/4/2026,262.52,39803120,264.65,266.15,261.42
3/3/2026,263.75,38568920,263.48,265.56,260.13
3/2/2026,264.72,41827950,262.41,266.53,260.20
2/27/2026,264.18,72366510,272.81,272.81,262.89
2/26/2026,272.95,32345110,274.95,276.11,270.80
2/25/2026,274.23,33714340,271.78,274.94,271.05
2/24/2026,272.14,47014620,267.86,274.89,267.71
2/23/2026,266.18,37308160,263.49,269.43,263.38
2/20/2026,264.58,42070500,258.97,264.75,258.16
2/19/2026,260.58,30845290,262.60,264.48,260.05
2/18/2026,264.35,34203340,263.60,266.82,262.45
2/17/2026,263.88,58469090,258.05,266.29,255.54
2/13/2026,255.78,56290670,262.01,262.23,255.45
2/12/2026,261.73,81077230,275.59,275.72,260.18
2/11/2026,275.50,51931280,274.70,280.18,274.45
2/10/2026,273.68,34376900,274.89,275.37,272.94
2/9/2026,274.62,44623400,277.91,278.20,271.70
2/6/2026,278.12,50453410,277.12,280.91,276.93
2/5/2026,275.91,52977440,278.13,279.50,273.23
2/4/2026,276.49,90545710,272.29,278.95,272.29
2/3/2026,269.48,64394660,269.20,271.88,267.61
2/2/2026,270.01,73913430,260.03,270.49,259.21
1/30/2026,259.48,92443410,255.17,261.90,252.18
1/29/2026,258.28,67253010,258.00,259.65,254.41
1/28/2026,256.44,41287970,257.65,258.86,254.51
1/27/2026,258.27,49648270,259.17,261.95,258.21
1/26/2026,255.41,55969230,251.48,256.56,249.80
1/23/2026,248.04,41688980,247.32,249.41,244.68
1/22/2026,248.35,39708340,249.20,251.00,248.15
1/21/2026,247.65,54641730,248.70,251.56,245.18
1/20/2026,246.70,80267520,252.73,254.79,243.42
1/16/2026,255.53,72142770,257.90,258.90,254.93
1/15/2026,258.21,39388560,260.65,261.04,257.05
1/14/2026,259.96,40019420,259.49,261.82,256.71
1/13/2026,261.05,45730850,258.72,261.81,258.39
1/12/2026,260.25,45263770,259.16,261.30,256.80
1/9/2026,259.37,39996970,259.08,260.21,256.22
1/8/2026,259.04,50419340,257.02,259.29,255.70
1/7/2026,260.33,48309800,263.20,263.68,259.81
1/6/2026,262.36,52352090,267.00,267.55,262.12
1/5/2026,267.26,45647190,270.64,271.51,266.14
1/2/2026,271.01,37838050,272.26,277.84,269.00
12/31/2025,271.86,27293640,273.06,273.68,271.75
12/30/2025,273.08,22139620,272.81,274.08,272.28
12/29/2025,273.76,23715210,272.69,274.36,272.35
