id,treatment,n_answered,complete,councillor,role,role_text,finished,gender,age,age_group,residence,town_size,years_planning,n_status_quo
122,1,4,1,1,Councillor,,1,Male,48.0,3.0,Rural,"5,000-15,000",1.0,0
123,2,3,0,1,Councillor,,1,,,,,"50,000+",55.0,0
124,1,4,1,1,Councillor,,1,Female,56.0,4.0,Urban,"50,000+",8.0,1
125,2,4,1,1,Councillor,,1,Male,70.0,6.0,Urban,"50,000+",35.0,1
126,3,4,1,0,Not answered,,1,Male,68.0,5.0,Rural,,,0
127,1,4,1,1,Councillor,,1,Male,65.0,5.0,Urban,"5,000-15,000",2.0,0
128,2,4,1,1,Councillor,,1,Male,52.0,4.0,Urban,"50,000+",2.0,0
129,2,4,1,1,Councillor,,1,Male,,,Rural,"50,000+",8.0,2
130,3,4,1,1,Councillor,,1,Male,70.0,6.0,Rural,"50,000+",20.0,1
131,1,4,1,1,Councillor,,1,Male,75.0,6.0,Urban,"50,000+",24.0,0
133,3,4,1,1,Councillor,,1,Female,58.0,4.0,Urban,"15,000-50,000",5.0,0
134,2,4,1,1,Councillor,,1,Male,61.0,5.0,Urban,"15,000-50,000",5.0,0
135,1,4,1,0,Not answered,,1,Male,69.0,5.0,Urban,,,3
136,2,4,1,1,Councillor,,1,Male,53.0,4.0,Rural,"5,000-15,000",,0
137,3,4,1,1,Councillor,,1,Male,64.0,5.0,Rural,"50,000+",8.0,4
138,1,4,1,1,Councillor,,1,Male,58.0,4.0,Urban,"15,000-50,000",5.0,0
139,1,4,1,1,Councillor,,1,Male,64.0,5.0,Rural,"<5,000",2.0,0
140,2,4,1,1,Councillor,,1,Male,56.0,4.0,Urban,"15,000-50,000",2.0,1
141,3,4,1,1,Councillor,,1,Female,70.0,6.0,Urban,"50,000+",8.0,0
142,1,4,1,1,Councillor,,1,Male,70.0,6.0,Urban,"50,000+",,0
143,2,4,1,1,Councillor,,1,Male,65.0,5.0,Urban,"50,000+",8.0,1
144,3,4,1,0,Not answered,,1,Male,67.0,5.0,Urban,,,1
145,1,4,1,1,Councillor,,1,Male,71.0,6.0,Urban,"5,000-15,000",8.0,0
146,3,4,1,1,Councillor,,1,Male,57.0,4.0,Rural,"15,000-50,000",3.0,0
147,1,4,1,1,Councillor,,1,Male,,,Rural,"<5,000",5.0,4
148,2,4,1,1,Councillor,,1,Female,68.0,5.0,Urban,"50,000+",6.0,3
149,3,4,1,1,Councillor,,1,Male,56.0,4.0,Rural,"<5,000",3.0,3
150,3,4,1,1,Councillor,,1,Male,56.0,4.0,Rural,"50,000+",2.0,3
151,2,4,1,1,Councillor,,1,Male,63.0,5.0,Urban,"50,000+",11.0,2
152,1,4,1,0,Compliance staff,,1,Male,45.0,3.0,Urban,"50,000+",,1
153,1,4,1,1,Councillor,,1,Female,66.0,5.0,Urban,"50,000+",,0
154,3,4,1,1,Councillor,,1,Male,,,Rural,"5,000-15,000",5.0,2
155,3,4,1,1,Councillor,,1,Female,61.0,5.0,Urban,"50,000+",10.0,1
156,1,4,1,0,Compliance staff,,1,Female,52.0,4.0,Rural,"<5,000",2.0,0
157,2,4,1,1,Councillor,,1,Female,,,Urban,"50,000+",,0
158,1,3,0,1,Councillor,,1,Male,62.0,5.0,Rural,"15,000-50,000",2.0,0
159,2,4,1,1,Councillor,,1,Female,68.0,5.0,Urban,"50,000+",25.0,1
160,2,4,1,1,Councillor,,1,Female,76.0,6.0,Urban,"15,000-50,000",,2
161,3,4,1,1,Councillor,,1,Male,58.0,4.0,Rural,"50,000+",5.0,0
162,1,4,1,1,Councillor,,1,Male,65.0,5.0,Rural,"15,000-50,000",2.0,0
163,2,4,1,1,Councillor,,1,Male,68.0,5.0,Urban,"<5,000",6.0,0
164,3,4,1,1,Councillor,,1,Male,,,Urban,"5,000-15,000",,0
165,1,4,1,1,Councillor,,1,Male,66.0,5.0,Rural,"15,000-50,000",17.0,1
166,1,4,1,0,Not answered,,1,Male,74.0,6.0,Rural,,,1
167,2,4,1,1,Councillor,,1,Male,40.0,3.0,Urban,"50,000+",15.0,4
168,3,4,1,1,Other,Mayor,1,Female,59.0,4.0,Rural,"5,000-15,000",,3
169,2,4,1,1,Councillor,,1,Male,66.0,5.0,Rural,"5,000-15,000",3.0,0
170,1,4,1,1,Councillor,,1,Female,52.0,4.0,Urban,"50,000+",15.0,1
171,3,4,1,1,Councillor,,1,Male,60.0,5.0,Rural,"<5,000",4.0,0
172,1,4,1,1,Councillor,,1,Female,,,Urban,"50,000+",14.0,0
173,2,4,1,1,Councillor,,1,Male,62.0,5.0,Rural,"5,000-15,000",,0
174,3,4,1,1,Councillor,,1,Male,,,Rural,"<5,000",18.0,3
175,1,4,1,1,Councillor,,1,Female,59.0,4.0,Urban,"50,000+",,3
176,2,4,1,0,Policy staff,,1,Male,63.0,5.0,Urban,"5,000-15,000",22.0,2
179,2,1,0,1,Councillor,,0,,,,,"50,000+",5.0,4
186,1,2,0,0,Not answered,,0,,,,,,,0
193,2,3,0,1,Councillor,,0,,,,,"50,000+",10.0,0
194,2,1,0,1,Councillor,,0,,,,,"5,000-15,000",,0
199,1,3,0,1,Councillor,,0,,,,,"5,000-15,000",7.0,4
200,2,3,0,0,Not answered,,0,,,,,,,0
207,2,1,0,1,Councillor,,0,,,,,"15,000-50,000",20.0,0
213,3,1,0,1,Councillor,,0,,,,,"5,000-15,000",14.0,0
214,1,1,0,0,Not answered,,0,,,,,,,0
